"CellType","Normal","Tumor","p_value"
"Bcells",0.116017411754596,0.198256883713081,0.084047406089042
"CAFs",0.0271640145557115,0.0167990176036721,0.518011048574121
"CD4_Tcells",0.0311907579579954,0.149510226677632,0.0265891679102391
"CD8_Tcells",0.0819344148084352,0.16146709167172,0.0606896189908787
"Endothelial",0.239913832749642,0.122823941440075,0.0803297013170544
"Macrophages",0.0193476274076881,0.0134434483840803,0.781983420991723
"NKcells",0.275038350513179,0.197265374882686,0.163949718140846
"otherCells",0.209393590252753,0.140434015627053,0.170364052449036
